feature_1,feature_2,correlation
points_per_pound,value_vs_position,0.9049846488979817
points_per_pound,cumulative_points,0.9264300214493594
points_per_pound,rolling_5gw_influence,0.8641774304216263
points_per_pound,rolling_5gw_bps,0.8799660429989272
points_per_pound,rolling_5gw_points,0.9076903930724312
points_per_pound,rolling_5gw_minutes,0.8725056667835188
points_per_pound,cumulative_minutes,0.8699358795368806
points_per_pound,rolling_5gw_points_std,0.8208634086039394
points_per_pound,cumulative_bps,0.9000377764006274
points_per_pound,minutes_played_rate,0.872505666783521
value_vs_position,cumulative_points,0.8566590789536532
value_vs_position,rolling_5gw_bps,0.8295432431268471
value_vs_position,rolling_5gw_points,0.8420856575101572
value_vs_position,rolling_5gw_minutes,0.8702009314588254
value_vs_position,cumulative_minutes,0.8682744557135957
value_vs_position,cumulative_bps,0.8464486822993981
value_vs_position,minutes_played_rate,0.8702009314588274
avg_net_transfers_5gw,net_transfers_gw,1.0000000000000018
avg_net_transfers_5gw,predicted_price_change_1gw,1.0000000000000002
avg_net_transfers_5gw,ownership_velocity,1.0000000000000029
net_transfers_gw,predicted_price_change_1gw,1.0000000000000036
net_transfers_gw,ownership_velocity,1.0000000000000007
predicted_price_change_1gw,ownership_velocity,1.0000000000000033
cumulative_points,rolling_5gw_influence,0.8858614547345954
cumulative_points,rolling_5gw_bps,0.9176489738281525
cumulative_points,rolling_5gw_points,0.9431223519349229
cumulative_points,rolling_5gw_minutes,0.8578006597745772
cumulative_points,cumulative_minutes,0.8922963958857247
cumulative_points,rolling_5gw_points_std,0.8333511175569165
cumulative_points,cumulative_bps,0.9734223728905882
cumulative_points,minutes_played_rate,0.8578006597745773
cumulative_points,rolling_5gw_ict_index,0.8565994149144845
cumulative_points,cumulative_clean_sheets,0.8221181814233327
rolling_5gw_influence,rolling_5gw_bps,0.924047017656087
rolling_5gw_influence,rolling_5gw_points,0.9251527477030097
rolling_5gw_influence,rolling_5gw_minutes,0.8906928009985202
rolling_5gw_influence,cumulative_minutes,0.8564482317635661
rolling_5gw_influence,rolling_5gw_points_std,0.8232780820097044
rolling_5gw_influence,cumulative_bps,0.8858011396933763
rolling_5gw_influence,minutes_played_rate,0.8906928009985202
rolling_5gw_influence,rolling_5gw_ict_index,0.8882521776137303
rolling_5gw_influence,rolling_5gw_xgc,0.8237258510464962
rolling_5gw_bps,rolling_5gw_points,0.969102518868747
rolling_5gw_bps,rolling_5gw_minutes,0.8813858891306356
rolling_5gw_bps,cumulative_minutes,0.8369539910770638
rolling_5gw_bps,rolling_5gw_points_std,0.8456879291427258
rolling_5gw_bps,cumulative_bps,0.9463030025681896
rolling_5gw_bps,minutes_played_rate,0.881385889130637
rolling_5gw_bps,rolling_5gw_ict_index,0.8910277928824348
rolling_5gw_points,rolling_5gw_minutes,0.8770098334441518
rolling_5gw_points,cumulative_minutes,0.8338537441819781
rolling_5gw_points,rolling_5gw_points_std,0.8908024771558324
rolling_5gw_points,cumulative_bps,0.9196341439655911
rolling_5gw_points,minutes_played_rate,0.8770098334441518
rolling_5gw_points,rolling_5gw_ict_index,0.8873874963509437
rolling_5gw_minutes,cumulative_minutes,0.9552888364418185
rolling_5gw_minutes,cumulative_bps,0.8648952799151455
rolling_5gw_minutes,minutes_played_rate,0.9999999999999998
rolling_5gw_minutes,rolling_5gw_ict_index,0.8525208832481241
rolling_5gw_minutes,rolling_5gw_xgc,0.9248361129703414
cumulative_minutes,cumulative_bps,0.8971812529802741
cumulative_minutes,minutes_played_rate,0.9552888364418188
cumulative_minutes,rolling_5gw_ict_index,0.8191613440320278
cumulative_minutes,rolling_5gw_xgc,0.8897623641973571
cumulative_bps,minutes_played_rate,0.8648952799151514
cumulative_bps,rolling_5gw_ict_index,0.8617159479404025
cumulative_bps,cumulative_clean_sheets,0.8030960953142053
minutes_played_rate,rolling_5gw_ict_index,0.8525208832481251
minutes_played_rate,rolling_5gw_xgc,0.9248361129703427
rolling_5gw_ict_index,rolling_5gw_creativity,0.8462681762273278
rolling_5gw_ict_index,rolling_5gw_threat,0.8400255642074926
rolling_5gw_ict_index,rolling_5gw_xgi,0.8339342323083994
bps_per_90,points_per_90,0.9255392689612079
rolling_5gw_creativity,cumulative_xa,0.8348951916888897
rolling_5gw_creativity,rolling_5gw_xa,0.855744907356262
cumulative_xa,rolling_5gw_xa,0.9329326790001663
rolling_5gw_xg,rolling_5gw_threat,0.8685723082300039
rolling_5gw_xg,rolling_5gw_xgi,0.9357233446099187
rolling_5gw_xg,cumulative_xg,0.9401260704234752
bandwagon_score,selected_by_percent,0.993588377942573
opponent_strength,fixture_difficulty,0.8371967014276323
opponent_strength,form_adjusted_difficulty,0.8182969199201574
opponent_strength,clean_sheet_probability_enhanced,0.8182969199201562
rolling_5gw_threat,rolling_5gw_xgi,0.8945902736278009
rolling_5gw_threat,cumulative_xg,0.8388405466324061
form_adjusted_difficulty,clean_sheet_probability_enhanced,1.0000000000000038
opponent_win_probability,implied_clean_sheet_probability,0.9320356968903805
opponent_win_probability,team_expected_goals,0.9320356968903801
opponent_win_probability,team_win_probability,0.9729655831912648
rolling_5gw_xgi,cumulative_xg,0.8814675477742879
implied_clean_sheet_probability,team_expected_goals,1.0000000000000016
implied_clean_sheet_probability,team_win_probability,0.9762778837031016
team_expected_goals,team_win_probability,0.9762778837030995
