feature,importance,std
price_volatility,6.661338147750939e-17,5.438959822042073e-17
cumulative_red_cards,5.551115123125783e-17,5.551115123125783e-17
congestion_difficulty,5.551115123125783e-17,5.551115123125783e-17
is_fk_taker,-5.309701718458904e-06,1.874341577084621e-05
is_primary_penalty_taker,-3.771942641218606e-05,4.252554872441635e-06
is_corner_taker,-0.00011210069752881635,5.045442936885717e-05
rolling_5gw_saves,-0.00011403748836522621,1.8577160583605805e-05
is_penalty_taker,-0.0001980519911055745,4.21091910935227e-05
rolling_5gw_assists,-0.0004498394400870853,6.212236090738214e-05
rolling_5gw_goals,-0.000762066716839338,7.221871536106626e-05
favorite_status,-0.0008069929682451349,0.00012097166597619749
cumulative_assists,-0.001421565206473774,0.00011350762850691555
cumulative_goals,-0.0015525362101988626,9.791360136777195e-05
price_band,-0.0019009102719234506,0.0001562840735395497
rolling_5gw_goals_per_90,-0.0019368099231070856,0.00012026802191460024
assists_per_90,-0.002084349904791738,9.385704780403893e-05
position_encoded,-0.002398782412705336,0.00011218690415156346
ownership_tier_encoded,-0.0025478818104477385,0.0001957532546356209
rolling_5gw_bonus,-0.0026250495819749474,0.00016324969473927736
team_rolling_5gw_clean_sheets,-0.002687878881188888,0.0002142629666099807
rolling_5gw_assists_per_90,-0.0029653137912436954,0.0001773798665353241
team_cumulative_goals_conceded,-0.003212920415409193,0.00014281654407543524
team_rolling_5gw_goals_conceded,-0.00331659046146916,0.0001488593144980739
goals_per_90,-0.003584566655702248,0.00015781959605605346
asian_handicap_line,-0.0037642008486417633,0.00029925136616738466
cumulative_yellow_cards,-0.003815214081916729,0.00010192498559049914
rolling_5gw_clean_sheets,-0.0038594804207164437,0.0003153478989093547
opponent_rolling_5gw_goals_conceded,-0.003915433793439826,0.00014733670764815988
is_home,-0.003993565599219873,0.00032925923372003685
team_cumulative_clean_sheets,-0.004050906577976765,0.0002318609964833829
opponent_rolling_5gw_clean_sheets,-0.004163196564475014,0.0003394274423884828
games_played,-0.004305800273073724,0.00031733327236924456
team_rolling_5gw_goals_scored,-0.004390636043753326,0.00021442323036545077
expected_goal_difference,-0.004545045809994075,0.0003183833855871034
team_rolling_5gw_goal_diff,-0.0050482621895265424,0.00020357956832421813
team_encoded,-0.005305947580133896,0.00037350279619840154
team_rolling_5gw_xg_diff,-0.005328318482074023,0.00028191776299967783
team_rolling_5gw_xgc,-0.005648102805591471,0.0002235499849054541
over_under_signal,-0.005873663508311744,0.00036525666925323226
opponent_rolling_5gw_xgc,-0.00594953354632356,0.00025943205799290446
implied_total_goals,-0.00604100106619967,0.00026892540514973927
clean_sheet_rate,-0.0060763095901941845,0.0002757933561011945
team_rolling_5gw_xg,-0.00623035593013016,0.000298343838241133
team_rolling_5gw_points,-0.006634071683207255,0.0003244072025233213
odds_movement_team,-0.006717308079033058,0.0005470168777456166
odds_movement_magnitude,-0.0067599518483882235,0.00022905076624972064
draw_probability,-0.006874807261758498,0.0003784285799640328
team_cumulative_goals_scored,-0.006926348308385189,0.00042450093401322496
rolling_5gw_goals_conceded,-0.006941398441310575,0.0002984143309379082
handicap_team_odds,-0.006945173167629803,0.0002996380543516597
team_season_points,-0.006954459229942011,0.00039171677507686414
referee_encoded,-0.007277667718181535,0.000492535653207474
team_win_probability,-0.0075730388791016455,0.0002620040799348587
clean_sheet_probability_enhanced,-0.008088521986540642,0.0004546994105808886
cumulative_bonus,-0.008221472205333669,0.0004718273248748447
rolling_5gw_xa,-0.009218179765163547,0.0003938706292643768
implied_clean_sheet_probability,-0.009432552808008842,0.0003328892257917719
xg_per_90,-0.009626360568045788,0.00045220335666770463
opponent_win_probability,-0.009698515487027059,0.0003771688605381537
team_expected_goals,-0.009775368424736952,0.00039657062479150933
price,-0.010190591855893171,0.0006235355695691591
form_adjusted_difficulty,-0.010743592753109299,0.0008384643270171532
transfer_momentum_encoded,-0.011026309719217465,0.0006519822810775413
market_consensus_strength,-0.011086448688878847,0.00032710947157071863
bandwagon_score,-0.011626055786594624,0.0006814411987124948
cumulative_clean_sheets,-0.011966941062979042,0.0004327392979286961
selected_by_percent,-0.012150984305835943,0.0006476000217156379
fixture_difficulty,-0.013040126684499043,0.00047147865352116877
rolling_5gw_threat,-0.013461571079145973,0.0003252881390452166
xa_per_90,-0.013676827959436732,0.00040240096289614744
cumulative_xa,-0.014041838977001387,0.0005359128876137894
opponent_strength,-0.014078268356938506,0.0008883826729824203
rolling_5gw_xg,-0.014707103976978641,0.00045202906510591166
cumulative_xg,-0.01493520866650474,0.0005838995986602433
form_trend,-0.01494167820378518,0.0004308327024640033
price_risk,-0.020938969825163987,0.0008049366793326679
points_per_90,-0.02170352992094878,0.0009513670037815527
rolling_5gw_points_per_90,-0.021749123416418582,0.0005636990119703791
rolling_5gw_xgi,-0.02197894180363169,0.0006202738935011078
bps_per_90,-0.024796437915064952,0.0007741506248289578
rolling_5gw_minutes_std,-0.026220623804338327,0.00046746271666698404
rolling_5gw_creativity,-0.028950159910087415,0.00041661688912910923
rolling_5gw_xgc,-0.02990939507797442,0.00042142694373038916
cumulative_minutes,-0.03579159020956768,0.0006895271782712204
rolling_5gw_points_std,-0.03742208217596406,0.0011508298225511458
ownership_velocity,-0.04160732275840458,0.0012675324109901363
rolling_5gw_bps,-0.042988217416022975,0.0008285046345906781
minutes_played_rate,-0.04422062255965884,0.0007217285972334179
predicted_price_change_1gw,-0.0442520453410273,0.0011120306785269277
net_transfers_gw,-0.04469922815917363,0.0012819522813547176
avg_net_transfers_5gw,-0.04619083988728344,0.0013400509961436846
rolling_5gw_ict_index,-0.04683863263754372,0.000647989634282848
rolling_5gw_points,-0.048243636913004054,0.0007915060539329939
cumulative_bps,-0.04945540310847536,0.001236696165987829
rolling_5gw_minutes,-0.05190891204769007,0.000535608898338942
rolling_5gw_influence,-0.058589662833736525,0.000858671491148268
cumulative_points,-0.05974754351184567,0.001160478524969183
value_vs_position,-0.18865163360915985,0.0027784607092675123
points_per_pound,-0.24614096254011186,0.002520072457967343
